zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Mandrillus_leucophaeus,Mandrillus_leucophaeus_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000951045.1,EN,Drill,PRIMATES,Cercopithecidae,NA
Manis_javanica,Manis_javanica_MANIDAE_PHOLIDOTA,0,NA,NA,2,2. Existing assembly,GCF_001685135.1,CR,Malayan pangolin,PHOLIDOTA,Manidae,NA
Manis_pentadactyla,Manis_pentadactyla_MANIDAE_PHOLIDOTA,0,NA,NA,2,2. Existing assembly,GCA_000738955.1,CR,Chinese pangolin,PHOLIDOTA,Manidae,NA
Manis_tricuspis,Phataginus_tricuspis_MANIDAE_PHOLIDOTA,1,moved from Manis to Phataginus,https://www.mammaldiversity.org/explore.html#genus=Phataginus&species=tricuspis&id=1005799,3,3. Zoonomia (not in alignment),GCA_004765945.1,VU,Tree pangolin,PHOLIDOTA,Manidae,NA
Marmota_marmota,Marmota_marmota_SCIURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_001458135.1,LC,Alpine marmot,RODENTIA,Sciuridae,NA
Megaderma_lyra,Megaderma_lyra_MEGADERMATIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026885.1,LC,Greater false vampire bat,CHIROPTERA,Megadermatidae,NA
Mellivora_capensis,Mellivora_capensis_MUSTELIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004024625.1,LC,Honey badger,CARNIVORA,Mustelidae,NA
Meriones_unguiculatus,Meriones_unguiculatus_MURIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004026785.1,LC,Mongolian jird,RODENTIA,Muridae,NA
Mesocricetus_auratus,Mesocricetus_auratus_CRICETIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000349665.1,VU,Golden hamster,RODENTIA,Cricetidae,NA
Mesoplodon_bidens,Mesoplodon_bidens_ZIPHIIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004027085.1,DD,Sowerby’s beaked whale,CETARTIODACTYLA,Ziphiidae,NA
Microcebus_murinus,Microcebus_murinus_CHEIROGALEIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_000165445.3,LC,Gray mouse lemur,PRIMATES,Cheirogaleidae,NA
Microgale_talazaci,Microgale_talazaci_TENRECIDAE_AFROSORICIDA,0,NA,NA,1,1. Zoonomia,GCA_004026705.1,LC,Talazac's shrew tenrec,AFROSORICIDA,Tenrecidae,NA
Micronycteris_hirsuta,Micronycteris_hirsuta_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026765.1,LC,Hairy big-eared bat,CHIROPTERA,Phyllostomidae,NA
